module.code,element.title,module.leader,element.first.markers,element.second.markers,deadline,deadline.self.cert.ec,deadline.ec,return.internal,return.hard,return.ec
PSY555,Grant,Tim Hollins,Tim Hollins,Ben Whalley,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY555,Poster,Tim Hollins,Tim Hollins,Ben Whalley,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY555,Presentation,Tim Hollins,Tim Hollins,Ben Whalley,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY555,Writing task,Tim Hollins,Tim Hollins,Ben Whalley,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY556,Statistics assignment part 1,William Simpson,William Simpson,Chris Harris,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY556,Statistics assignment part 2,William Simpson,William Simpson,Chris Harris,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY557,Statistics assignment part 1,Ben Whalley,Ben Whalley,Jon May,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY557,Statistics assignment part 2,Ben Whalley,Ben Whalley,Jon May,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY558,Assignment part 1,Ben Whalley,Ben Whalley,Jon May,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY558,Assignment part 2,Ben Whalley,Ben Whalley,Jon May,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY559,Coursework assignment,Chris Harris,Chris Harris,Chris Berry,2018-11-15,2018-11-20,2018-11-26,2018-12-06,2018-12-13,2019-01-02
PSY560,Coursework assignment,Tim Auburn,Tim Auburn,Sylvia Terbeck,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY561,Session 1 coursework (Haline Schendan and Stephen Hall),Jeremy Goslin,Haline Schenden/Stephen Hall,Jeremy Goslin,2018-11-22,2018-11-27,2018-12-03,2018-12-13,2018-12-20,2019-01-02
PSY561,Session 2 coursework (Jeremy Goslin and Chris Mitchell),Jeremy Goslin,Jeremy Goslin/Chris Mitchell,Haline Schendan,2018-11-22,2018-11-27,2018-12-03,2018-12-13,2018-12-20,2019-01-02
PSY562,Session 1 coursework (Michaela Gummerum and Giorgio Ganis),Jeremy Goslin,Michaela Gummerum/Sue Denham,Chris Mitchell,2019-05-09,2019-05-14,2019-05-20,2019-05-30,2019-06-06,2019-06-17
PSY562,Session 2 coursework (Sylvia Terbeck and Sabine Pahl),Jeremy Goslin,Giorgio Ganis/Chris Mitchell,Michaela Gummerum,2019-05-09,2019-05-14,2019-05-20,2019-05-30,2019-06-06,2019-06-17
PSY563,Class participation,Yaniv Hanoch,Yaniv Hanoch,Jeremy Goslin,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY563,Class presentation (Last meeting),Yaniv Hanoch,Yaniv Hanoch,Jeremy Goslin,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY563,Final assignment,Yaniv Hanoch,Yaniv Hanoch,Jeremy Goslin,2019-01-17,2019-01-22,2019-01-28,2019-02-07,2019-02-14,2019-02-25
PSY564,Coursework,TBC,TBC,TBC,2019-03-21,2019-03-26,2019-04-01,2019-04-11,2019-04-18,2019-04-29
PSY566,Coursework,Jackie Andrade,Jackie Andrade,Ben Whalley,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY567,Individual Behaviour Change,Jon May,Jon May,Judy Edworthy,2018-11-29,2018-12-04,2018-12-10,2018-12-20,2019-01-02,2019-01-07
PSY567,Population Behaviour Change,Jon May,Jon May,Judy Edworthy,2018-11-29,2018-12-04,2018-12-10,2018-12-20,2019-01-02,2019-01-07
PSY568,Coursework,TBC,TBC,TBC,2019-01-24,2019-01-29,2019-02-04,2019-02-14,2019-02-21,2019-03-04
PSY569,Coursework,Christopher Harris,Christopher Harris,Stephen Hall,2019-01-24,2019-01-29,2019-02-04,2019-02-14,2019-02-21,2019-03-04
PSY570,Coursework,Haline Schenden,Haline Schenden,Giorgio Ganis,2019-03-21,2019-03-26,2019-04-01,2019-04-11,2019-04-18,2019-04-29
PSY571,Poster,Ben Whalley,Supervisors,Supervisors (round robin),2019-05-24,2019-05-29,2019-06-03,2019-06-14,2019-06-21,2019-07-01
PSY571,Protocol,Ben Whalley,Supervisors,Supervisors (round robin),2019-02-21,2019-02-26,2019-03-04,2019-03-14,2019-03-21,2019-04-01
PSY572,Ethics,Alison Bacon,Alison Bacon,NA,2019-08-22,2019-08-27,2019-09-02,2019-09-12,2019-09-19,2019-09-30
PSY572,Project,Alison Bacon,Supervisors,Supervisors (round robin),2019-08-28,2019-09-02,2019-09-09,2019-09-18,2019-09-25,2019-10-07
PSY575,Pathway specific assignment,Chris Harris,"CH,BW,CD",Ben Whalley; Alyson Norman,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY576,Project,Chris Harris,Supervisors,Chris Harris; Ben Whalley; Alyson Norman,2019-05-16,2019-05-21,2019-05-28,2019-06-06,2019-06-13,2019-06-25
PSY577,Coursework,TBC,TBC,TBC,2019-03-21,2019-03-26,2019-04-01,2019-04-11,2019-04-18,2019-04-29
