module,last_teaching_session,deadline,deadline.self.cert.ec,deadline.ec,return.internal,return.hard,return.ec
PSY555,2018-11-16,2018-12-06,2018-12-11,2019-01-07,2019-01-02,2019-01-03,2019-02-04
PSY556,2019-01-11,2019-01-31,2019-02-05,2019-02-11,2019-02-21,2019-02-28,2019-03-11
PSY558,2019-02-19,2019-03-14,2019-03-19,2019-03-25,2019-04-04,2019-04-11,2019-04-23
PSY559,2018-11-13,2018-12-06,2018-12-11,2019-01-07,2019-01-02,2019-01-03,2019-02-04
PSY560,2019-03-19,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY561,2019-01-11,2019-01-31,2019-02-05,2019-02-11,2019-02-21,2019-02-28,2019-03-11
PSY562,2019-03-22,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY564,2019-03-26,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY566,2018-11-27,2019-01-10,2019-01-15,2019-01-21,2019-01-31,2019-02-07,2019-02-18
PSY567,2019-05-07,2019-05-30,2019-06-04,2019-06-10,2019-06-20,2019-06-27,2019-07-08
PSY568,2018-12-07,2019-01-10,2019-01-15,2019-01-21,2019-01-31,2019-02-07,2019-02-18
PSY569,2019-03-29,2019-05-02,2019-05-07,2019-05-13,2019-05-23,2019-05-30,2019-06-10
PSY570,2018-11-27,2019-01-10,2019-01-15,2019-01-21,2019-01-31,2019-02-07,2019-02-18
PSY571,2019-05-24,2019-06-13,2019-06-18,2019-06-24,2019-07-04,2019-07-11,2019-07-22
PSY577,2019-05-03,2019-05-23,2019-05-28,2019-06-03,2019-06-13,2019-06-20,2019-07-01
